,registro_funcional,num_vinculo,dc_cargo_base,grupo_cargo_base,nivel_cargo_base,segmento_cargo_base,referencia_cargo_comissao,relacao_juridica,qt_hora_jornada_semanal,dc_orgao,qtd_servidores_orgao,ano_nascimento,sexo,raca,pessoa_com_deficiencia,vl_remuneracao_base_mensal,vl_outro_elemento_remuneracao,vl_remuneracao_total_bruta,cedido,tempo_exercicio_dias
0,1159470,2,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1951,M,BRANCA,NAO,16043.35,4028.65,20072.0,True,14251
1,1162454,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA CIDADE TIRADENTES,127.0,1951,M,BRANCA,NAO,20044.1,3184.45,23228.55,False,13281
2,1337980,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,TECNOLOGIA EM CONSTRUCAO CIVIL,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1948,M,BRANCA,NAO,16687.89,5333.54,22021.43,False,13127
3,1362992,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1953,F,BRANCA,NAO,19541.48,3049.88,22591.36,False,15613
4,1365452,4,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,I,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1957,M,NAO INFORMADO,NAO,8309.1,1797.08,10106.18,False,3257
5,1367234,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1959,M,AMARELA,NAO,10602.36,3467.32,14069.68,False,11788
6,1370812,3,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,II,BIBLIOTECONOMIA,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1959,M,BRANCA,NAO,8523.42,1377.86,9901.28,False,4740
7,1374796,1,ESP DESENVOLVIMENTO URBANO,PCCS,III,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1953,F,BRANCA,NAO,16877.77,6542.74,23420.51,True,15623
8,1378732,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1949,M,AMARELA,NAO,19541.48,3148.03,22689.51,False,15549
9,1399446,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,I,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1959,M,BRANCA,NAO,8309.1,412.23,8721.33,False,5866
10,1403575,4,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,Nenhum,"EDUCACAO FISICA, ESPORTES",,ADMITIDO,40,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,679.0,1956,F,BRANCA,NAO,7215.11,2428.56,9643.67,False,13644
11,1845721,1,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,I,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE EDUCACAO,82094.0,1948,F,BRANCA,NAO,7215.11,412.23,7627.34,False,6478
12,1949136,2,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1949,F,PARDA,NAO,16043.35,2599.4,18642.75,False,14029
13,2300982,3,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,II,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE EDUCACAO,82094.0,1954,M,BRANCA,NAO,7699.76,1490.19,9189.95,False,6274
14,3009556,4,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1953,M,BRANCA,NAO,10145.8,412.23,10558.03,False,5538
15,3030571,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1955,M,BRANCA,NAO,19541.48,6404.94,25946.42,False,15238
16,3033538,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA PINHEIROS,153.0,1952,M,BRANCA,NAO,18093.95,8603.73,26697.68,False,15611
17,3033872,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE SEGURANCA URBANA,6156.0,1952,M,BRANCA,NAO,,,0.0,False,12670
18,3049388,2,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,GABINETE DO PREFEITO,865.0,1953,M,PRETA,NAO,7215.11,1010.11,8225.22,True,13379
19,3056805,2,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1950,F,BRANCA,NAO,16043.35,4323.1,20366.45,False,15843
