registro_funcional;num_vinculo;dc_cargo_base;grupo_cargo_base;nivel_cargo_base;segmento_cargo_base;referencia_cargo_comissao;relacao_juridica;qt_hora_jornada_semanal;dc_orgao;qtd_servidores_orgao;ano_nascimento;sexo;raca;pessoa_com_deficiencia;vl_remuneracao_base_mensal;vl_outro_elemento_remuneracao;vl_remuneracao_total_bruta;cedido;tempo_exercicio_dias;tempo_exercicio_dias_padro;vl_remuneracao_total_bruta_padro;k_means4
1159470;2;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;IV;BIBLIOTECONOMIA;;EFETIVO;40;PROCURADORIA GERAL DO MUNICIPIO;795.0;1951;M;BRANCA;NAO;16043.35;4028.65;20072.0;True;14251;2.476416655112583;0.5831472208054355;2
1162454;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SUBPREFEITURA CIDADE TIRADENTES;127.0;1951;M;BRANCA;NAO;20044.1;3184.45;23228.55;False;13281;2.206099351805725;0.9187138475131426;2
1337980;1;ANALISTA DE ORDENAMENTO TERRITORIAL;QAA;IV;TECNOLOGIA EM CONSTRUCAO CIVIL;DAS11;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1948;M;BRANCA;NAO;16687.89;5333.54;22021.43;False;13127;2.1631829964353577;0.7903872927519612;2
1362992;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1953;F;BRANCA;NAO;19541.48;3049.88;22591.36;False;15613;2.8559755902712833;0.8509754309279836;2
1365452;4;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;I;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1957;M;NAO INFORMADO;NAO;8309.1;1797.08;10106.18;False;3257;-0.5873652341199848;-0.47629951685948396;1
1367234;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;II;ARQUITETURA;;EFETIVO;40;SUBPREFEITURA VILA MARIANA;152.0;1959;M;AMARELA;NAO;10602.36;3467.32;14069.68;False;11788;1.7900336468189846;-0.054947621608023633;3
1370812;3;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;II;BIBLIOTECONOMIA;DAS11;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1959;M;BRANCA;NAO;8523.42;1377.86;9901.28;False;4740;-0.17408630545599557;-0.498082033154936;0
1374796;1;ESP DESENVOLVIMENTO URBANO;PCCS;III;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE;740.0;1953;F;BRANCA;NAO;16877.77;6542.74;23420.51;True;15623;2.8587623665940343;0.9391207378404971;2
1378732;1;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SUBPREFEITURA VILA MARIANA;152.0;1949;M;AMARELA;NAO;19541.48;3148.03;22689.51;False;15549;2.838140221805676;0.8614095645268053;2
1399446;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;I;AGRONOMIA;;EFETIVO;40;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE;740.0;1959;M;BRANCA;NAO;8309.1;412.23;8721.33;False;5866;0.1397047084857791;-0.6235201986152515;0
1403575;4;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;Nenhum;EDUCACAO FISICA, ESPORTES;;ADMITIDO;40;SECRETARIA MUNICIPAL DE ESPORTES E LAZER;679.0;1956;F;BRANCA;NAO;7215.11;2428.56;9643.67;False;13644;2.3072593323215904;-0.525468045955675;3
1845721;1;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;I;BIBLIOTECONOMIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE EDUCACAO;82094.0;1948;F;BRANCA;NAO;7215.11;412.23;7627.34;False;6478;0.31025541943814683;-0.7398201254188709;0
1949136;2;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;IV;BIBLIOTECONOMIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1949;F;PARDA;NAO;16043.35;2599.4;18642.75;False;14029;2.414550220747508;0.4312064623121468;2
2300982;3;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;II;BIBLIOTECONOMIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE EDUCACAO;82094.0;1954;M;BRANCA;NAO;7699.76;1490.19;9189.95;False;6274;0.25340518245402427;-0.5737021274274783;0
3009556;4;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;II;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB;236.0;1953;M;BRANCA;NAO;10145.8;412.23;10558.03;False;5538;0.04829844509954277;-0.4282642314124365;0
3030571;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE;740.0;1955;M;BRANCA;NAO;19541.48;6404.94;25946.42;False;15238;2.7514714781681167;1.2076452655898642;2
3033538;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SUBPREFEITURA PINHEIROS;153.0;1952;M;BRANCA;NAO;18093.95;8603.73;26697.68;False;15611;2.855418235006733;1.2875102396851368;2
3033872;1;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE SEGURANCA URBANA;6156.0;1952;M;BRANCA;NAO;;;0.0;False;12670;2.0358273184856324;-1.5506676502649093;3
3049388;2;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;GABINETE DO PREFEITO;865.0;1953;M;PRETA;NAO;7215.11;1010.11;8225.22;True;13379;2.2334097597686857;-0.6762606776749721;3
3056805;2;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;IV;BIBLIOTECONOMIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1950;F;BRANCA;NAO;16043.35;4323.1;20366.45;False;15843;2.9200714456945587;0.6144496216019014;2
3058140;4;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;II;ARQUITETURA;DAS10;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1955;F;BRANCA;NAO;11103.54;1896.56;13000.1;False;12915;2.1041033383930343;-0.1686525692863526;3
3064778;4;ESP DESENVOLVIMENTO URBANO;PCCS;II;ARQUITETURA;DAS10;EFETIVO;40;PROCURADORIA GERAL DO MUNICIPIO;795.0;1949;M;NAO INFORMADO;NAO;9831.95;4599.03;14430.98;False;10993;1.5684849291602716;-0.01653852869661899;3
3065235;2;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;IV;BIBLIOTECONOMIA;DAS10;EFETIVO;40;SECRETARIA MUNICIPAL DE ESPORTES E LAZER;679.0;1955;F;BRANCA;NAO;15356.28;2562.1;17918.38;False;11109;1.6008115345041845;0.3542001112680444;2
3065421;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SUBPREFEITURA JACANA/TREMEMBE;159.0;1953;M;BRANCA;NAO;19623.47;3159.51;22782.98;False;12375;1.9536174169644747;0.8713461765235644;2
3084329;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;DAS15;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1955;M;BRANCA;NAO;20687.03;6497.72;27184.75;False;13250;2.1974603452051964;1.3392896941118122;2
3088847;1;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;IV;SERVICO SOCIAL;;EFETIVO;30;SUBPREFEITURA JABAQUARA;122.0;1954;F;BRANCA;NAO;16126.72;2669.97;18796.69;False;14254;2.477252688009408;0.4475715211629124;2
3111563;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1951;F;BRANCA;NAO;18131.8;2950.68;21082.48;False;13254;2.198575055734297;0.6905693636371992;2
3112985;5;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;DAS12;EFETIVO;40;PROCURADORIA GERAL DO MUNICIPIO;795.0;1956;M;BRANCA;NAO;22110.33;3407.44;25517.77;False;13247;2.196624312308371;1.1620763265462064;2
